head,step,new_batch_loss,old_same_batch_loss,new_gradient_norm,old_gradient_norm
neural_fold0_seed17_utility,1,0.17750471830368042,0.11185427755117416,0.6147961616516113,0.012775304727256298
neural_fold0_seed17_utility,100,0.07371081411838531,0.09088205546140671,0.07411783933639526,0.02951585128903389
neural_fold0_seed17_utility,200,0.24585601687431335,0.29694247245788574,0.27708107233047485,0.22944587469100952
neural_fold0_seed17_utility,400,0.1261584311723709,0.17517931759357452,0.24683025479316711,0.293246328830719
neural_fold0_seed17_utility,600,0.0976327657699585,0.1278877854347229,0.2993283271789551,0.20545968413352966
neural_fold0_seed17_utility,800,0.06212572008371353,0.05881565064191818,0.18267647922039032,0.16624414920806885
neural_fold0_seed17_utility,1000,0.06196809560060501,0.07706698775291443,0.11539915949106216,0.2275504320859909
neural_fold0_seed17_utility,1200,0.17715254426002502,0.21145175397396088,0.4198501706123352,0.3466598391532898
neural_fold0_seed17_utility,1400,0.06959600746631622,0.07600817084312439,0.10362141579389572,0.09579117596149445
neural_fold0_seed17_utility,1600,0.06655144691467285,0.09994194656610489,0.43852606415748596,0.35070833563804626
neural_fold0_seed17_utility,1800,0.12490798532962799,0.12399515509605408,0.28275907039642334,0.4990769922733307
neural_fold0_seed17_utility,2000,0.05064893513917923,0.05858977138996124,0.23375162482261658,0.1909189075231552
neural_fold0_seed17_all,1,1.0352377891540527,1.0379756689071655,0.2660839855670929,0.20936721563339233
neural_fold0_seed17_all,200,0.947674036026001,0.9849417805671692,0.6349993348121643,0.6087239384651184
neural_fold0_seed17_all,400,0.8528719544410706,0.8519642353057861,0.689771294593811,0.7076315879821777
neural_fold0_seed17_all,600,1.00003981590271,1.0089712142944336,0.8341370224952698,0.8422070741653442
neural_fold0_seed17_all,800,0.6287671327590942,0.619096040725708,1.345140814781189,1.3525824546813965
neural_fold0_seed17_all,1000,0.8221491575241089,0.8065338134765625,1.3009799718856812,1.352257490158081
neural_fold0_seed17_all,1200,1.2051401138305664,1.2025797367095947,1.861297369003296,1.876027226448059
neural_fold0_seed17_all,1400,1.1778359413146973,1.1887397766113281,1.4807727336883545,1.464328408241272
neural_fold0_seed17_all,1600,0.8175365328788757,0.8038473129272461,1.3761816024780273,1.3733097314834595
neural_fold0_seed17_all,1800,0.8087750673294067,0.8192406892776489,2.0160973072052,2.0396058559417725
neural_fold0_seed17_all,2000,0.4809646010398865,0.4699315130710602,2.847120761871338,2.792067766189575
neural_fold0_seed17_easy,1,0.004443071782588959,0.004444688092917204,0.0006123663042671978,0.0005269640823826194
neural_fold0_seed17_easy,200,0.0027262798976153135,0.0026891150046139956,0.0013099601492285728,0.001363189541734755
neural_fold0_seed17_easy,400,0.002863112837076187,0.0028711447957903147,0.004116628784686327,0.003805430606007576
neural_fold0_seed17_easy,600,0.0023408520501106977,0.0022665350697934628,0.001530348788946867,0.003095654072239995
neural_fold0_seed17_easy,800,0.0018390137702226639,0.0018313676118850708,0.0022108082193881273,0.003076407592743635
neural_fold0_seed17_easy,1000,0.0021751218009740114,0.002185278106480837,0.0015726672718301415,0.0015466399490833282
neural_fold0_seed17_easy,1200,0.0016422325279563665,0.0016284416196867824,0.0019989481661468744,0.0017721315380185843
neural_fold0_seed17_easy,1400,0.0017619270365685225,0.001767124398611486,0.0028472680132836103,0.00335562601685524
neural_fold0_seed17_easy,1600,0.003014812944456935,0.0031380916479974985,0.006960989907383919,0.005693285726010799
neural_fold0_seed17_easy,1800,0.0018049500649794936,0.0018057927954941988,0.0018635111628100276,0.0020074208732694387
neural_fold0_seed17_easy,2000,0.0020366825629025698,0.002081278944388032,0.002402507234364748,0.0022115816827863455
