arm,site,mean_brier,mean_brier_lift,mean_lift_vs_main_only,mean_auroc,mean_auprc,mean_ece,positive_seeds,vs_prior_agent_balanced_lift,vs_prior_agent_low,vs_prior_agent_high,vs_main_agent_balanced_lift,vs_main_agent_low,vs_main_agent_high
logistic_main_only,ETH,0.2826449910513619,-0.009815687919028593,0.0,0.598613251155624,0.8069759146627473,0.3163092343760325,0,-0.03546019720351077,-0.1705994282360766,0.0957476951600919,0.0,0.0,0.0
logistic_main_only,Hotel,0.4874672545164352,-0.1673810382786689,0.0,0.4116279069767442,0.39805567003152453,0.4639101861741481,0,-0.07202855430467651,-0.1398832739028956,-0.0033960740089392896,0.0,0.0,0.0
logistic_source_only,ETH,0.3448034686863617,-0.07197416555402836,-0.062158477634999765,0.4083204930662558,0.729423301778496,0.3718116079563862,0,-0.11884176122922337,-0.20026073943934505,-0.04769585210714554,-0.08338156402571259,-0.17840823332897615,0.012169350467430414
logistic_source_only,Hotel,0.25121845881038735,0.06886775742737894,0.23624879570604776,0.550562640660165,0.478467294676967,0.09110927853390612,3,0.027322188695989673,-0.07541240513200509,0.13653883864178534,0.09935074300066621,-0.040653227377662166,0.23979741230171903
logistic_mixed,ETH,0.28873711706757155,-0.015907813935238213,-0.006092126016209611,0.5562403697996918,0.7822661755245889,0.2934700977362429,0,-0.04295427492702871,-0.15385601305091365,0.06476054518110674,-0.007494077723517942,-0.0384306249278623,0.023442469480826414
logistic_mixed,Hotel,0.3162408433789277,0.0038453728588385694,0.17122641113750744,0.4965741435358841,0.508821845975195,0.22503005618171748,3,0.03962272256103009,-0.0027665423803428786,0.08711312044036375,0.11165127686570665,0.04950714125968134,0.17729183821708785
extra_trees_main_only,ETH,0.2643047126186246,0.008524590513708704,0.0,0.6117103235747304,0.8082104985407503,0.24147187542640816,3,0.03845206751677739,-0.022289999005389798,0.09919413403894459,0.0,0.0,0.0
extra_trees_main_only,Hotel,0.4235381983253717,-0.10345198208760546,0.0,0.37664416104026,0.4022450805153485,0.3798710422138241,0,-0.04899529346498985,-0.09839074073577106,-0.006947455900800327,0.0,0.0,0.0
extra_trees_source_only,ETH,0.383150479904697,-0.11032117677236362,-0.11884576728607232,0.5161787365177196,0.7779206255744665,0.41301126504868807,0,-0.1995668243908328,-0.3682475884802523,-0.05719002791787402,-0.2380188919076102,-0.4398745729680796,-0.06907031454307928
extra_trees_source_only,Hotel,0.2533234091876638,0.06676280705010251,0.17021478913770793,0.5607985329665749,0.4668293632372056,0.11732968634135121,3,0.00483939433460215,-0.10580139709541811,0.11193322259852014,0.053834687799592,-0.08616002964179696,0.19126125546525918
extra_trees_mixed,ETH,0.327199517427179,-0.054370214294845655,-0.06289480480855436,0.48638931689779147,0.7494128816717206,0.35314780143736474,0,-0.09481237996035467,-0.18726506902177026,-0.0023596908989390554,-0.13326444747713206,-0.2473435214816005,-0.028820804648795162
extra_trees_mixed,Hotel,0.25629344563266415,0.06379277060510219,0.16724475269270764,0.5173043260815203,0.4751215190841159,0.11052849547996985,3,0.033718392794173095,-0.04224040764150845,0.11410724520481294,0.08271368625916294,-0.021758909672353412,0.18846043678203916
mlp_main_only,ETH,0.273214039867588,-0.00038473673525467783,0.0,0.7372881355932203,0.8941291724778239,0.2806579831233842,2,0.09269448407654411,-0.03135706221431731,0.21674603036740553,0.0,0.0,0.0
mlp_main_only,Hotel,0.5036093086873915,-0.18352309244962517,0.0,0.451646244894557,0.43529896276853663,0.4994517558820191,0,-0.11815598937787428,-0.1968163922463212,-0.028018985512791444,0.0,0.0,0.0
mlp_source_only,ETH,0.3920241751931328,-0.11919487206079948,-0.11881013532554481,0.34540318438623524,0.6804018613193649,0.4068307567832401,0,-0.18878508620554826,-0.3124076696575998,-0.09066616025743321,-0.28147957028209236,-0.5329532750150348,-0.06249244240236133
mlp_source_only,Hotel,0.2610938477716745,0.05899236846609177,0.24251546091571696,0.5534633658414604,0.47194520676163676,0.11700788630880939,3,0.012541331406082334,-0.10050974843685459,0.126876821914133,0.13069732078395663,-0.0285596890895781,0.2877546578153248
mlp_mixed,ETH,0.38559181618385036,-0.11276251305151706,-0.11237777631626236,0.561633281972265,0.8155860786183978,0.4233216620816891,0,-0.08109382582690529,-0.2187170653058006,0.04893039439755407,-0.1737883099034494,-0.29442253146071007,-0.05315408834618869
mlp_mixed,Hotel,0.2960126469576226,0.024073569280143686,0.20759666172976884,0.5796699174793699,0.5276615656282019,0.1879600811959572,3,0.0560291921461408,-0.0030235137866511884,0.12147828557923568,0.17418518152401502,0.07962633412253044,0.2771454644664755
